transaction_id,amount,merchant_category,transaction_channel,card_type,is_fraud
T001,45.99,retail,in_store,debit,0
T002,1250.00,online_shopping,online,credit,1
T003,8.75,food_beverage,in_store,debit,0
T004,32.50,gas_station,in_store,debit,0
T005,125.00,healthcare,in_store,credit,0
T006,18.99,food_beverage,mobile,debit,0
T007,875.50,entertainment,online,credit,1
T008,62.00,retail,in_store,debit,0
T009,15.25,food_beverage,in_store,debit,0
T010,340.00,travel,online,credit,0
T011,22.75,gas_station,in_store,debit,0
T012,88.50,retail,in_store,credit,0
T013,2100.00,online_shopping,online,credit,1
T014,45.00,food_beverage,in_store,debit,0
T015,155.00,healthcare,in_store,credit,0
T016,72.25,retail,mobile,debit,0
T017,9.99,food_beverage,mobile,debit,0
T018,265.00,travel,online,credit,0
T019,650.00,entertainment,online,credit,1
T020,38.50,retail,in_store,debit,0
T021,12.00,food_beverage,in_store,debit,0
T022,195.00,retail,online,credit,0
T023,55.75,gas_station,in_store,debit,0
T024,1800.00,online_shopping,online,credit,1
T025,84.00,healthcare,in_store,debit,0
T026,28.50,food_beverage,in_store,debit,0
T027,310.00,travel,online,credit,0
T028,66.99,retail,in_store,debit,0
T029,42.50,gas_station,in_store,debit,0
T030,225.00,entertainment,in_store,credit,0
T031,945.00,online_shopping,online,credit,1
T032,18.75,food_beverage,mobile,debit,0
T033,135.00,retail,online,credit,0
T034,52.00,gas_station,in_store,debit,0
T035,285.00,healthcare,in_store,credit,0
T036,75.50,retail,in_store,debit,0
T037,22.00,food_beverage,in_store,debit,0
T038,1450.00,entertainment,online,credit,1
T039,485.00,travel,online,credit,0
T040,31.25,retail,in_store,debit,0
T041,14.50,food_beverage,in_store,debit,0
T042,115.00,retail,online,credit,0
T043,48.75,gas_station,in_store,debit,0
T044,175.00,healthcare,in_store,credit,0
T045,2450.00,online_shopping,online,credit,1
T046,29.00,food_beverage,mobile,debit,0
T047,395.00,travel,online,credit,0
T048,82.50,retail,in_store,debit,0
T049,36.25,gas_station,in_store,debit,0
T050,145.00,entertainment,in_store,credit,0
T051,19.99,food_beverage,in_store,debit,0
T052,780.00,online_shopping,online,credit,1
T053,55.00,retail,mobile,debit,0
T054,270.00,travel,online,credit,0
T055,44.50,gas_station,in_store,debit,0
T056,98.00,healthcare,in_store,debit,0
T057,33.75,retail,in_store,debit,0
T058,1675.00,entertainment,online,credit,1
T059,425.00,travel,online,credit,0
T060,16.50,food_beverage,in_store,debit,0
T061,89.00,retail,in_store,credit,0
T062,47.25,gas_station,in_store,debit,0
T063,215.00,healthcare,in_store,credit,0
T064,3200.00,online_shopping,online,credit,1
T065,25.50,food_beverage,mobile,debit,0
T066,365.00,travel,online,credit,0
T067,73.00,retail,in_store,debit,0
T068,39.50,gas_station,in_store,debit,0
T069,165.00,entertainment,in_store,credit,0
T070,11.25,food_beverage,in_store,debit,0
T071,1100.00,online_shopping,online,credit,1
T072,105.00,retail,online,credit,0
T073,52.75,gas_station,in_store,debit,0
T074,245.00,healthcare,in_store,credit,0
T075,68.00,retail,in_store,debit,0
T076,27.50,food_beverage,in_store,debit,0
T077,890.00,entertainment,online,credit,1
T078,510.00,travel,online,credit,0
T079,43.25,retail,in_store,debit,0
T080,17.75,food_beverage,mobile,debit,0
T081,185.00,retail,online,credit,0
T082,58.50,gas_station,in_store,debit,0
T083,295.00,healthcare,in_store,credit,0
T084,79.00,retail,in_store,debit,0
T085,1950.00,online_shopping,online,credit,1
T086,35.25,food_beverage,in_store,debit,0
T087,445.00,travel,online,credit,0
T088,71.50,retail,in_store,debit,0
T089,46.75,gas_station,in_store,debit,0
T090,135.00,entertainment,in_store,credit,0
T091,21.00,food_beverage,in_store,debit,0
T092,725.00,online_shopping,online,credit,1
T093,92.00,retail,mobile,debit,0
T094,315.00,travel,online,credit,0
T095,49.50,gas_station,in_store,debit,0
T096,188.00,healthcare,in_store,credit,0
T097,37.25,retail,in_store,debit,0
T098,23.75,food_beverage,in_store,debit,0
T099,565.00,travel,online,credit,0
T100,64.00,retail,in_store,debit,0
