year,population_millions
1950,376.0
1951,383.4
1952,390.8
1953,398.2
1954,405.6
1955,413.0
1956,420.4
1957,427.8
1958,435.2
1959,442.6
1960,450.0
1961,460.5
1962,471.0
1963,481.5
1964,492.0
1965,502.5
1966,513.0
1967,523.5
1968,534.0
1969,544.5
1970,555.0
1971,569.3
1972,583.6
1973,597.9
1974,612.2
1975,626.5
1976,640.8
1977,655.1
1978,669.4
1979,683.7
1980,698.0
1981,715.5
1982,733.0
1983,750.5
1984,768.0
1985,785.5
1986,803.0
1987,820.5
1988,838.0
1989,855.5
1990,873.0
1991,891.0
1992,909.0
1993,927.0
1994,945.0
1995,963.0
1996,981.0
1997,999.0
1998,1017.0
1999,1035.0
2000,1053.0
2001,1070.8
2002,1088.6
2003,1106.4
2004,1124.2
2005,1142.0
2006,1159.8
2007,1177.6
2008,1195.4
2009,1213.2
2010,1231.0
2011,1245.9
2012,1260.8
2013,1275.7
2014,1290.6
2015,1305.5
2016,1320.4
2017,1335.3
2018,1350.2
2019,1365.1
2020,1380.0
2021,1392.5
2022,1405.0
2023,1417.5
2024,1430.0
2025,1442.5
2026,1455.0
